source,target,verb,sentence,sentiment,source_file
Kosovo,Kosovo,regard," 
1
UNITED NATIONS 
   United Nations Interim    
   Administration Mission  
in Kosovo 
 
 
NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations    
       Unies au Kosovo 
 
UNMIK 
Investigation Task Force 
 
 
                                      
Case 287/04                                                                                                                      
                                                                                                                                   October 26, 2004 
                   
 
 
Pristina Airport – Alleged administrative irregularity regarding an X-RAY Tender  
 
 
Allegation 
On the 29th May 2003, the Divisional Manager, Kosovo Trust Agency (KTA)",positive,45.pdf.txt
United States,Japan,bug,"NSA Global SIGINT Highlights 
US Bugged Japan's Confidential G-8 Proposals on 
Climate Change
WikiLeaks release: July 31, 2015
This is a secret US National Security Agency (NSA) report derived from intelligence intercepts of officials 
within the Japanese government, shortly before 2008 G-8 Summit held in Lake Toya in Japan.",positive,107.pdf.txt
United States,Japan,bug,"NSA Global SIGINT Highlights 
US Bugged Japan's Confidential G-8 Proposals on 
Climate Change
WikiLeaks release: July 31, 2015
This is a secret US National Security Agency (NSA) report derived from intelligence intercepts of officials 
within the Japanese government, shortly before 2008 G-8 Summit held in Lake Toya in Japan.",positive,107.pdf.txt
Japan,Japan,bug,"NSA Global SIGINT Highlights 
US Bugged Japan's Confidential G-8 Proposals on 
Climate Change
WikiLeaks release: July 31, 2015
This is a secret US National Security Agency (NSA) report derived from intelligence intercepts of officials 
within the Japanese government, shortly before 2008 G-8 Summit held in Lake Toya in Japan.",positive,107.pdf.txt
the United States',Australia,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
the United States',Canada,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
the United States',United Kingdom,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
the United States',"New 
Zealand",mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
Australia,Canada,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
Australia,United Kingdom,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
Australia,"New 
Zealand",mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
Canada,United Kingdom,mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
Canada,"New 
Zealand",mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
United Kingdom,"New 
Zealand",mark,"The report is marked for sharing 
with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New 
Zealand.
",positive,107.pdf.txt
United States,United States,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,Japan,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,METI,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
United States,SECRET//COMINT//REL,work,"Description
Keywords: National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, G-8,
Ministry of Economy Trade and Industry, METI, Ministry of Foreign
Affairs, MFA, Ministry of Finance, Ministry of Environment, Chief Cabinet
Secretary Nobutaka Machimura, carbon emissions, environment,
climate change
Restraint: TOP SECRET//COMINT//REL TO USA, AUS, CAN, GBR, NZL
Title: Japanese Leadership Working to Narrow Down Climate Change Goals
for G-8 Summit
Date: 2008
Organisation: National Security Agency (NSA)
",positive,107.pdf.txt
